File Path,Line Number,Type,Label/Text
src/pages/pre-archive/__tests__/PoolPage.test.tsx,31,Native Button,Clear Filter
src/pages/pre-archive/OCRProcessingView.tsx,397,Native Button,[Icon/Unknown]
src/pages/pre-archive/OCRProcessingView.tsx,418,Native Button,[Icon/Unknown]
src/pages/pre-archive/OCRProcessingView.tsx,512,Native Button,重新识别
src/pages/pre-archive/OCRProcessingView.tsx,513,Native Button,查看原件
src/pages/pre-archive/OCRProcessingView.tsx,620,Native Button,[Icon/Unknown]
src/pages/pre-archive/OCRProcessingView.tsx,649,Native Button,[Icon/Unknown]
src/pages/pre-archive/OCRProcessingView.tsx,700,Native Button,[Icon/Unknown]
src/pages/settings/RoleSettingsPage.tsx,32,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,197,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,226,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,238,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,244,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,294,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,321,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,343,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,350,Native Button,[Icon/Unknown]
src/pages/settings/MfaSettingsPage.tsx,357,Native Button,[Icon/Unknown]
src/pages/settings/UserSettingsPage.tsx,32,Native Button,[Icon/Unknown]
src/pages/settings/AuditLogView.tsx,103,Native Button,[Icon/Unknown]
src/pages/settings/AuditLogView.tsx,133,Native Button,[Icon/Unknown]
src/pages/settings/AuditLogView.tsx,139,Native Button,[Icon/Unknown]
src/pages/settings/AuditLogView.tsx,172,Native Button,[Icon/Unknown]
src/pages/settings/AuditLogView.tsx,205,Native Button,[Icon/Unknown]
src/pages/settings/AuditLogView.tsx,210,Native Button,[Icon/Unknown]
src/pages/settings/AuditLogView.tsx,236,Native Button,[Icon/Unknown]
src/pages/settings/ErpPreviewPage.tsx,133,Native Button,[Icon/Unknown]
src/pages/settings/ErpPreviewPage.tsx,147,Native Button,[Icon/Unknown]
src/pages/settings/ErpPreviewPage.tsx,272,Native Button,[Icon/Unknown]
src/pages/settings/ErpPreviewPage.tsx,289,Native Button,[Icon/Unknown]
src/pages/settings/ErpPreviewPage.tsx,308,Native Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,382,Native Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,530,AntD Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,559,AntD Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,563,AntD Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,579,AntD Button,取消
src/pages/collection/BatchUploadView.tsx,580,AntD Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,599,Native Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,617,AntD Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,623,AntD Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,780,AntD Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,789,AntD Button,[Icon/Unknown]
src/pages/collection/BatchUploadView.tsx,792,AntD Button,[Icon/Unknown]
src/pages/collection/FourNatureReportView.tsx,149,Native Button,[Icon/Unknown]
src/pages/collection/FourNatureReportView.tsx,223,Native Button,[Icon/Unknown]
src/pages/collection/FourNatureReportView.tsx,226,Native Button,[Icon/Unknown]
src/pages/collection/OnlineReceptionView.tsx,224,Native Button,[Icon/Unknown]
src/pages/collection/OnlineReceptionView.tsx,292,Native Button,[Icon/Unknown]
src/pages/collection/OnlineReceptionView.tsx,293,Native Button,[Icon/Unknown]
src/pages/collection/OnlineReceptionView.tsx,294,Native Button,[Icon/Unknown]
src/pages/collection/OnlineReceptionView.tsx,350,Native Button,[Icon/Unknown]
src/pages/collection/OnlineReceptionView.tsx,357,Native Button,[Icon/Unknown]
src/pages/collection/OnlineReceptionView.tsx,391,Native Button,取消
src/pages/collection/OnlineReceptionView.tsx,392,Native Button,确认
src/pages/portal/Dashboard.tsx,146,Native Button,[Icon/Unknown]
src/pages/portal/Dashboard.tsx,218,Native Button,[Icon/Unknown]
src/pages/portal/Dashboard.tsx,248,Native Button,[Icon/Unknown]
src/pages/quality/QualityView.tsx,62,Native Button,[Icon/Unknown]
src/pages/quality/QualityView.tsx,96,Native Button,[Icon/Unknown]
src/pages/quality/QualityView.tsx,103,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,211,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,312,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,322,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,331,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,342,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,364,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,371,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,389,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,494,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketListPage.tsx,502,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketApplyPage.tsx,115,Native Button,[Icon/Unknown]
src/pages/security/AuthTicketApplyPage.tsx,265,Native Button,[Icon/Unknown]
src/pages/Auth/MfaVerifyPage.tsx,138,Native Button,[Icon/Unknown]
src/pages/Auth/MfaVerifyPage.tsx,157,Native Button,[Icon/Unknown]
src/pages/Auth/LoginView.tsx,195,Native Button,[Icon/Unknown]
src/pages/Auth/LoginView.tsx,211,Native Button,[Icon/Unknown]
src/pages/Auth/LoginView.tsx,220,Native Button,[Icon/Unknown]
src/pages/admin/AccessReviewPage.tsx,131,Native Button,[Icon/Unknown]
src/pages/admin/AccessReviewPage.tsx,201,Native Button,[Icon/Unknown]
src/pages/admin/AccessReviewPage.tsx,210,Native Button,[Icon/Unknown]
src/pages/admin/AccessReviewPage.tsx,229,Native Button,[Icon/Unknown]
src/pages/admin/AccessReviewPage.tsx,236,Native Button,[Icon/Unknown]
src/pages/admin/AccessReviewPage.tsx,255,Native Button,[Icon/Unknown]
src/pages/admin/AccessReviewPage.tsx,355,Native Button,[Icon/Unknown]
src/pages/admin/AccessReviewPage.tsx,367,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/index.tsx,310,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/HistoryTab.tsx,117,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/HistoryTab.tsx,209,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/HistoryTab.tsx,247,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/HistoryTab.tsx,255,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/ImportTab.tsx,168,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/ImportTab.tsx,273,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/ImportTab.tsx,281,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/ImportTab.tsx,455,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/FileUploader.tsx,146,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/FileUploader.tsx,160,Native Button,[Icon/Unknown]
src/pages/admin/LegacyImportPage/components/FileUploader.tsx,175,Native Button,[Icon/Unknown]
src/pages/admin/EntityConfigPage.tsx,174,Native Button,[Icon/Unknown]
src/pages/admin/EntityConfigPage.tsx,207,Native Button,[Icon/Unknown]
src/pages/admin/EntityConfigPage.tsx,229,Native Button,[Icon/Unknown]
src/pages/admin/EntityConfigPage.tsx,276,Native Button,[Icon/Unknown]
src/pages/admin/EntityConfigPage.tsx,282,Native Button,[Icon/Unknown]
src/pages/admin/EntityConfigPage.tsx,315,Native Button,[Icon/Unknown]
src/pages/admin/EntityConfigPage.tsx,395,Native Button,[Icon/Unknown]
src/pages/admin/EntityConfigPage.tsx,403,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,219,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,231,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,242,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,253,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,264,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,350,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,430,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,481,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,494,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,527,Native Button,[Icon/Unknown]
src/pages/admin/FondsHistoryPage.tsx,597,Native Button,[Icon/Unknown]
src/pages/admin/FondsManagement.tsx,144,Native Button,[Icon/Unknown]
src/pages/admin/FondsManagement.tsx,195,Native Button,[Icon/Unknown]
src/pages/admin/FondsManagement.tsx,202,Native Button,[Icon/Unknown]
src/pages/admin/FondsManagement.tsx,224,Native Button,×
src/pages/admin/FondsManagement.tsx,300,Native Button,[Icon/Unknown]
src/pages/admin/FondsManagement.tsx,307,Native Button,[Icon/Unknown]
src/pages/admin/AdminLayout.tsx,44,Native Button,[Icon/Unknown]
src/pages/admin/AdminLayout.tsx,50,Native Button,[Icon/Unknown]
src/pages/admin/AdminLayout.tsx,56,Native Button,[Icon/Unknown]
src/pages/admin/AdminLayout.tsx,62,Native Button,[Icon/Unknown]
src/pages/admin/AdminLayout.tsx,68,Native Button,[Icon/Unknown]
src/pages/admin/AdminLayout.tsx,74,Native Button,[Icon/Unknown]
src/pages/admin/AdminLayout.tsx,85,Native Button,退出管理
src/pages/admin/EntityManagementPage.tsx,84,Native Button,[Icon/Unknown]
src/pages/admin/EntityManagementPage.tsx,96,Native Button,[Icon/Unknown]
src/pages/admin/EntityManagementPage.tsx,383,Native Button,[Icon/Unknown]
src/pages/admin/EntityManagementPage.tsx,391,Native Button,[Icon/Unknown]
